ID ORGAO	SIGLA	Gratuidade	Titulo Etapa*: 	Descricao Etapa*: 	Custo Etapa: 	Canais de Prestacao: 	Documentos: 
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
596e172e8c36c75d14a5a8a7	ARSAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
57501cd88c36c718eb000009	ADEAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
577546098c36c702ca000002	Alagoas Previdência	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
57b1ecb08c36c75e61000006	Associação Comercial	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	True	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
56d6d7fb8c36c706ac000003	CASAL	False	{u'Nao tem Etapa TITULO': 0}	{u'Nao tem Etapa DESCRICAO': 0}	{u'Nao tem Etapa CUSTO': 0}	{u'Nao tem Etapa CANAIS': 0}	{u'Nao tem Etapa DOCUMENTOS': 0}
